CD_GEOCMU;NM_MUNICIP;BIOMA
3504206;AURIFLAMA;Mata Atlântica
5202601;AURILÂNDIA;Cerrado
4201901;AURORA;Mata Atlântica
2301703;AURORA;Caatinga
1500958;AURORA DO PARÁ;Amazônia
1702703;AURORA DO TOCANTINS;Cerrado
1300300;AUTAZES;Amazônia
3504305;AVAÍ;Cerrado
3504305;AVAÍ;Mata Atlântica
3504404;AVANHANDAVA;Mata Atlântica
3504503;AVARÉ;Cerrado
3504503;AVARÉ;Mata Atlântica
1501006;AVEIRO;Amazônia
2201101;AVELINO LOPES;Caatinga
5202809;AVELINÓPOLIS;Cerrado
2101103;AXIXÁ;Amazônia
1702901;AXIXÁ DO TOCANTINS;Cerrado
1703008;BABAÇULÂNDIA;Cerrado
2101202;BACABAL;Amazônia
2101202;BACABAL;Cerrado
2101251;BACABEIRA;Amazônia
2101301;BACURI;Amazônia
2101350;BACURITUBA;Amazônia
3504602;BADY BASSITT;Mata Atlântica
3104908;BAEPENDI;Mata Atlântica
4301602;BAGÉ;Pampa
1501105;BAGRE;Amazônia
2501401;BAÍA DA TRAIÇÃO;Mata Atlântica
2401404;BAÍA FORMOSA;Mata Atlântica
2902500;BAIANÓPOLIS;Cerrado
1501204;BAIÃO;Amazônia
2902609;BAIXA GRANDE;Caatinga
2201150;BAIXA GRANDE DO RIBEIRO;Cerrado
2301802;BAIXIO;Caatinga
3200805;BAIXO GUANDU;Mata Atlântica
3504701;BALBINOS;Mata Atlântica
3105004;BALDIM;Cerrado
5203104;BALIZA;Cerrado
4201950;BALNEÁRIO ARROIO DO SILVA;Mata Atlântica
4202057;BALNEÁRIO BARRA DO SUL;Mata Atlântica
4202057;BALNEÁRIO BARRA DO SUL;Mata Atlântica
4202057;BALNEÁRIO BARRA DO SUL;Mata Atlântica
4202057;BALNEÁRIO BARRA DO SUL;Mata Atlântica
4202008;BALNEÁRIO CAMBORIÚ;Mata Atlântica
4202073;BALNEÁRIO GAIVOTA;Mata Atlântica
4212809;BALNEÁRIO PIÇARRAS;Mata Atlântica
4301636;BALNEÁRIO PINHAL;Pampa
4220000;BALNEÁRIO RINCÃO;Mata Atlântica
4102307;BALSA NOVA;Mata Atlântica
3504800;BÁLSAMO;Mata Atlântica
2101400;BALSAS;Cerrado
3105103;BAMBUÍ;Cerrado
2301851;BANABUIÚ;Caatinga
